"","ID","Name","CountryCode","District","Population","lon","lat"
"1",1,"Kabul","AFG","Kabol",1780000,69.207486,34.5553494
"2",2,"Qandahar","AFG","Qandahar",237500,65.7371749,31.628871
"3",3,"Herat","AFG","Herat",186800,62.2040287,34.352865
"4",4,"Mazar-e-Sharif","AFG","Balkh",127800,67.1179511,36.6926167
"5",5,"Amsterdam","NLD","Noord-Holland",731200,4.8951679,52.3702157
"6",6,"Rotterdam","NLD","Zuid-Holland",593321,4.4777326,51.9244201
"8",8,"Utrecht","NLD","Utrecht",234323,5.1214201,52.0907374
"9",9,"Eindhoven","NLD","Noord-Brabant",201843,5.4697225,51.441642
"10",10,"Tilburg","NLD","Noord-Brabant",193238,5.056375,51.5852528
"11",11,"Groningen","NLD","Groningen",172701,6.5665017,53.2193835
"12",12,"Breda","NLD","Noord-Brabant",160398,4.768323,51.5719149
"13",13,"Apeldoorn","NLD","Gelderland",153491,5.9699231,52.211157
"16",16,"Haarlem","NLD","Noord-Holland",148772,4.6462194,52.3873878
"18",18,"Arnhem","NLD","Gelderland",138020,5.8987296,51.9851034
"19",19,"Zaanstad","NLD","Noord-Holland",135621,4.7510425,52.4579659
"20",21,"Amersfoort","NLD","Utrecht",126270,5.3878266,52.1561113
"21",22,"Maastricht","NLD","Limburg",122087,5.6909725,50.8513682
"24",25,"Haarlemmermeer","NLD","Noord-Holland",110722,4.6743594,52.3003784
"25",26,"Zoetermeer","NLD","Zuid-Holland",110214,4.494025,52.060669
"28",29,"Ede","NLD","Gelderland",101574,5.6648594,52.0401675
"29",30,"Delft","NLD","Zuid-Holland",95268,4.3570677,52.0115769
"30",31,"Heerlen","NLD","Limburg",95052,5.9794988,50.8881742
"31",32,"Alkmaar","NLD","Noord-Holland",92713,4.7533754,52.6323813
"33",35,"Alger","DZA","Alger",2168000,3.0587561,36.753768
"35",37,"Constantine","DZA","Constantine",443727,-85.6686026,41.8411603
"36",38,"Annaba","DZA","Annaba",222518,7.7525352,36.9264582
"39",43,"Biskra","DZA","Biskra",128281,5.7510475,34.8370347
"40",44,"Blida (el-Boulaida)","DZA","Blida",127284,2.8297576,36.4757929
"41",46,"Mostaganem","DZA","Mostaganem",115212,0.1401381,36.0131235
"42",48,"Tlemcen (Tilimsen)","DZA","Tlemcen",110242,-1.3180042,34.8884062
"43",50,"Tiaret","DZA","Tiaret",100118,1.3220322,35.3673553
"44",51,"Ech-Chleff (el-Asnam)","DZA","Chlef",96794,1.3256957,36.1548171
"45",53,"Tafuna","ASM","Tutuila",5200,-170.7269854,-14.331296
"46",54,"Fagatogo","ASM","Tutuila",2323,-170.6923312,-14.2795685
